Source Name,Message Type,Date/Time,Read,Direction,From Phone Number,To Phone Number,Text,Thread ID,Data Source,Conversation_ID,summary,evaluation_score,evaluation_reason
mmssms.db,Android Message,2021-10-30 15:25:21+00:00,1.0,Incoming,44398,2e9182bd-064b-4a96-b021-e6e478536364,205769 is your verification code for cyber-dust.firebaseapp.com.,595c3a94-617d-4ae3-81b1-8f3997f38f17-2,a12,1,"This conversation consists of a series of messages containing verification codes for various platforms such as Signal, Telegram, WhatsApp, Clubhouse, Imo and LINE.  The sender is seemingly verifying their accounts across multiple platforms. They also discuss the recent news about Houseparty shutting down.",90.32257855656157,"The summary captures most key points, mentioning verification messages for multiple platforms and discussion about Houseparty. It omits details like the sender expressing relief over Houseparty and planning to send a picture."
mmssms.db,Android Message,2021-10-30 15:25:21+00:00,1.0,Incoming,44398,2e9182bd-064b-4a96-b021-e6e478536364,Are you here?,42045e94-4ed1-4574-8f9b-095dd2a8708e-2,a12,1,"This conversation consists of a series of messages containing verification codes for various platforms such as Signal, Telegram, WhatsApp, Clubhouse, Imo and LINE.  The sender is seemingly verifying their accounts across multiple platforms. They also discuss the recent news about Houseparty shutting down.",90.32257855656157,"The summary captures most key points, mentioning verification messages for multiple platforms and discussion about Houseparty. It omits details like the sender expressing relief over Houseparty and planning to send a picture."
mmssms.db,Android Message,2021-10-30 15:27:07+00:00,1.0,Incoming,22395,2e9182bd-064b-4a96-b021-e6e478536364,"<#>Your SIGNAL verification code is: 436156
doDiFGKPO1r",595c3a94-617d-4ae3-81b1-8f3997f38f17-3,a12,1,"This conversation consists of a series of messages containing verification codes for various platforms such as Signal, Telegram, WhatsApp, Clubhouse, Imo and LINE.  The sender is seemingly verifying their accounts across multiple platforms. They also discuss the recent news about Houseparty shutting down.",90.32257855656157,"The summary captures most key points, mentioning verification messages for multiple platforms and discussion about Houseparty. It omits details like the sender expressing relief over Houseparty and planning to send a picture."
mmssms.db,Android Message,2021-10-30 15:27:07+00:00,1.0,Incoming,22395,2e9182bd-064b-4a96-b021-e6e478536364,Yes sir!  Did you see the news about Houseparty?,42045e94-4ed1-4574-8f9b-095dd2a8708e-3,a12,1,"This conversation consists of a series of messages containing verification codes for various platforms such as Signal, Telegram, WhatsApp, Clubhouse, Imo and LINE.  The sender is seemingly verifying their accounts across multiple platforms. They also discuss the recent news about Houseparty shutting down.",90.32257855656157,"The summary captures most key points, mentioning verification messages for multiple platforms and discussion about Houseparty. It omits details like the sender expressing relief over Houseparty and planning to send a picture."
mmssms.db,Android Message,2021-10-30 15:27:56+00:00,0.0,Incoming,12074242650,2e9182bd-064b-4a96-b021-e6e478536364,"Telegram code: 50294

You can also tap on this link to log in:
https://t.me/login/50294",595c3a94-617d-4ae3-81b1-8f3997f38f17-4,a12,1,"This conversation consists of a series of messages containing verification codes for various platforms such as Signal, Telegram, WhatsApp, Clubhouse, Imo and LINE.  The sender is seemingly verifying their accounts across multiple platforms. They also discuss the recent news about Houseparty shutting down.",90.32257855656157,"The summary captures most key points, mentioning verification messages for multiple platforms and discussion about Houseparty. It omits details like the sender expressing relief over Houseparty and planning to send a picture."
mmssms.db,Android Message,2021-10-30 15:27:56+00:00,0.0,Incoming,12074242650,2e9182bd-064b-4a96-b021-e6e478536364,I did. Rode off into the sunset without much fanfare.,42045e94-4ed1-4574-8f9b-095dd2a8708e-4,a12,1,"This conversation consists of a series of messages containing verification codes for various platforms such as Signal, Telegram, WhatsApp, Clubhouse, Imo and LINE.  The sender is seemingly verifying their accounts across multiple platforms. They also discuss the recent news about Houseparty shutting down.",90.32257855656157,"The summary captures most key points, mentioning verification messages for multiple platforms and discussion about Houseparty. It omits details like the sender expressing relief over Houseparty and planning to send a picture."
mmssms.db,Android Message,2021-10-30 15:30:50+00:00,0.0,Incoming,13605295691,2e9182bd-064b-4a96-b021-e6e478536364,"<#> Your WhatsApp code: 993-042

You can also tap on this link to verify your phone: v.whatsapp.com/993042

Don't share this code with others
4sgLq1p5sV6",595c3a94-617d-4ae3-81b1-8f3997f38f17-5,a12,1,"This conversation consists of a series of messages containing verification codes for various platforms such as Signal, Telegram, WhatsApp, Clubhouse, Imo and LINE.  The sender is seemingly verifying their accounts across multiple platforms. They also discuss the recent news about Houseparty shutting down.",90.32257855656157,"The summary captures most key points, mentioning verification messages for multiple platforms and discussion about Houseparty. It omits details like the sender expressing relief over Houseparty and planning to send a picture."
mmssms.db,Android Message,2021-10-30 15:30:50+00:00,0.0,Incoming,13605295691,2e9182bd-064b-4a96-b021-e6e478536364,Crazy. One less app to deal with. 😀,42045e94-4ed1-4574-8f9b-095dd2a8708e-5,a12,1,"This conversation consists of a series of messages containing verification codes for various platforms such as Signal, Telegram, WhatsApp, Clubhouse, Imo and LINE.  The sender is seemingly verifying their accounts across multiple platforms. They also discuss the recent news about Houseparty shutting down.",90.32257855656157,"The summary captures most key points, mentioning verification messages for multiple platforms and discussion about Houseparty. It omits details like the sender expressing relief over Houseparty and planning to send a picture."
mmssms.db,Android Message,2021-10-30 15:33:30+00:00,1.0,Incoming,22395,2e9182bd-064b-4a96-b021-e6e478536364,Your Clubhouse verification code is: 427733,595c3a94-617d-4ae3-81b1-8f3997f38f17-3,a12,1,"This conversation consists of a series of messages containing verification codes for various platforms such as Signal, Telegram, WhatsApp, Clubhouse, Imo and LINE.  The sender is seemingly verifying their accounts across multiple platforms. They also discuss the recent news about Houseparty shutting down.",90.32257855656157,"The summary captures most key points, mentioning verification messages for multiple platforms and discussion about Houseparty. It omits details like the sender expressing relief over Houseparty and planning to send a picture."
mmssms.db,Android Message,2021-10-30 15:33:30+00:00,1.0,Incoming,22395,2e9182bd-064b-4a96-b021-e6e478536364,Good for us.,42045e94-4ed1-4574-8f9b-095dd2a8708e-3,a12,1,"This conversation consists of a series of messages containing verification codes for various platforms such as Signal, Telegram, WhatsApp, Clubhouse, Imo and LINE.  The sender is seemingly verifying their accounts across multiple platforms. They also discuss the recent news about Houseparty shutting down.",90.32257855656157,"The summary captures most key points, mentioning verification messages for multiple platforms and discussion about Houseparty. It omits details like the sender expressing relief over Houseparty and planning to send a picture."
